Commodity,Year,Attribute,Value
Red meat and chicken (retail weight): Per capita availability,2003,Red meat-Total-Pounds,118.1284167
Red meat and chicken (retail weight): Per capita availability,2004,Red meat-Total-Pounds,118.5927324
Red meat and chicken (retail weight): Per capita availability,2005,Red meat-Total-Pounds,116.4090743
Red meat and chicken (retail weight): Per capita availability,2006,Red meat-Total-Pounds,116.1270977
Red meat and chicken (retail weight): Per capita availability,2007,Red meat-Total-Pounds,116.7869575
Red meat and chicken (retail weight): Per capita availability,2008,Red meat-Total-Pounds,112.4504203
Red meat and chicken (retail weight): Per capita availability,2009,Red meat-Total-Pounds,111.6985093
Red meat and chicken (retail weight): Per capita availability,2010,Red meat-Total-Pounds,107.8180273
Red meat and chicken (retail weight): Per capita availability,2011,Red meat-Total-Pounds,103.2371453
Red meat and chicken (retail weight): Per capita availability,2012,Red meat-Total-Pounds,103.5627335
Red meat and chicken (retail weight): Per capita availability,2013,Red meat-Total-Pounds,103.5903544
Red meat and chicken (retail weight): Per capita availability,2014,Red meat-Total-Pounds,100.4938708
Red meat and chicken (retail weight): Per capita availability,2015,Red meat-Total-Pounds,104.3133767
Red meat and chicken (retail weight): Per capita availability,2016,Red meat-Total-Pounds,106.262526
Red meat and chicken (retail weight): Per capita availability,2017,Red meat-Total-Pounds,107.8351517
Red meat and chicken (retail weight): Per capita availability,2018,Red meat-Total-Pounds,108.9596624
Red meat and chicken (retail weight): Per capita availability,2019,Red meat-Total-Pounds,111.2163348
Red meat and chicken (retail weight): Per capita availability,2020,Red meat-Total-Pounds,111.1514668
Red meat and chicken (retail weight): Per capita availability,2021,Red meat-Total-Pounds,110.8521064
Red meat and chicken (retail weight): Per capita availability,1909,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1910,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1911,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1912,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1913,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1914,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1915,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1916,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1917,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1918,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1919,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1920,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1921,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1922,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1923,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1924,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1925,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1926,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1927,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1928,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1929,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1930,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1931,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1932,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1933,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1934,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1935,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1936,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1937,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1938,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1939,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1940,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1941,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1942,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1943,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1944,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1945,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1946,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1947,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1948,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1949,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1950,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1951,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1952,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1953,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1954,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1955,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1956,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1957,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1958,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1959,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1960,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1961,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1962,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1963,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1964,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1965,Chicken-Broilers-Pounds,
Red meat and chicken (retail weight): Per capita availability,1966,Chicken-Broilers-Pounds,32.08863727
Red meat and chicken (retail weight): Per capita availability,1967,Chicken-Broilers-Pounds,32.62426753
Red meat and chicken (retail weight): Per capita availability,1968,Chicken-Broilers-Pounds,32.88216882
Red meat and chicken (retail weight): Per capita availability,1969,Chicken-Broilers-Pounds,34.91460039
Red meat and chicken (retail weight): Per capita availability,1970,Chicken-Broilers-Pounds,36.46821502
Red meat and chicken (retail weight): Per capita availability,1971,Chicken-Broilers-Pounds,36.29000334
Red meat and chicken (retail weight): Per capita availability,1972,Chicken-Broilers-Pounds,37.99843005
Red meat and chicken (retail weight): Per capita availability,1973,Chicken-Broilers-Pounds,36.54805129
Red meat and chicken (retail weight): Per capita availability,1974,Chicken-Broilers-Pounds,36.43138328
Red meat and chicken (retail weight): Per capita availability,1975,Chicken-Broilers-Pounds,36.17091933
Red meat and chicken (retail weight): Per capita availability,1976,Chicken-Broilers-Pounds,39.26279249
Red meat and chicken (retail weight): Per capita availability,1977,Chicken-Broilers-Pounds,40.13897175
Red meat and chicken (retail weight): Per capita availability,1978,Chicken-Broilers-Pounds,42.54050363
Red meat and chicken (retail weight): Per capita availability,1979,Chicken-Broilers-Pounds,45.36394285
Red meat and chicken (retail weight): Per capita availability,1980,Chicken-Broilers-Pounds,45.16302923
Red meat and chicken (retail weight): Per capita availability,1981,Chicken-Broilers-Pounds,46.21244752
Red meat and chicken (retail weight): Per capita availability,1982,Chicken-Broilers-Pounds,46.44146053
Red meat and chicken (retail weight): Per capita availability,1983,Chicken-Broilers-Pounds,46.89851781
Red meat and chicken (retail weight): Per capita availability,1984,Chicken-Broilers-Pounds,48.67286283
Red meat and chicken (retail weight): Per capita availability,1985,Chicken-Broilers-Pounds,50.42092424
Red meat and chicken (retail weight): Per capita availability,1986,Chicken-Broilers-Pounds,51.45127435
Red meat and chicken (retail weight): Per capita availability,1987,Chicken-Broilers-Pounds,54.53661964
Red meat and chicken (retail weight): Per capita availability,1988,Chicken-Broilers-Pounds,54.75738707
Red meat and chicken (retail weight): Per capita availability,1989,Chicken-Broilers-Pounds,56.05445507
Red meat and chicken (retail weight): Per capita availability,1990,Chicken-Broilers-Pounds,58.96754072
Red meat and chicken (retail weight): Per capita availability,1991,Chicken-Broilers-Pounds,61.37423366
Red meat and chicken (retail weight): Per capita availability,1992,Chicken-Broilers-Pounds,64.88322275
Red meat and chicken (retail weight): Per capita availability,1993,Chicken-Broilers-Pounds,67.43237491
Red meat and chicken (retail weight): Per capita availability,1994,Chicken-Broilers-Pounds,68.35980045
Red meat and chicken (retail weight): Per capita availability,1995,Chicken-Broilers-Pounds,67.57317198
Red meat and chicken (retail weight): Per capita availability,1996,Chicken-Broilers-Pounds,68.83393759
Red meat and chicken (retail weight): Per capita availability,1997,Chicken-Broilers-Pounds,71.07368294
Red meat and chicken (retail weight): Per capita availability,1998,Chicken-Broilers-Pounds,71.68104048
Red meat and chicken (retail weight): Per capita availability,1999,Chicken-Broilers-Pounds,75.98689752
Red meat and chicken (retail weight): Per capita availability,2000,Chicken-Broilers-Pounds,76.58872288
Red meat and chicken (retail weight): Per capita availability,2001,Chicken-Broilers-Pounds,76.27011278
Red meat and chicken (retail weight): Per capita availability,2002,Chicken-Broilers-Pounds,80.14982911
Red meat and chicken (retail weight): Per capita availability,2003,Chicken-Broilers-Pounds,81.21340223
Red meat and chicken (retail weight): Per capita availability,2004,Chicken-Broilers-Pounds,83.95001396
Red meat and chicken (retail weight): Per capita availability,2005,Chicken-Broilers-Pounds,85.38394684
Red meat and chicken (retail weight): Per capita availability,2006,Chicken-Broilers-Pounds,86.03116579
Red meat and chicken (retail weight): Per capita availability,2007,Chicken-Broilers-Pounds,84.70627315
Red meat and chicken (retail weight): Per capita availability,2008,Chicken-Broilers-Pounds,82.88063753
Red meat and chicken (retail weight): Per capita availability,2009,Chicken-Broilers-Pounds,79.17284698
Red meat and chicken (retail weight): Per capita availability,2010,Chicken-Broilers-Pounds,81.77574483
Red meat and chicken (retail weight): Per capita availability,2011,Chicken-Broilers-Pounds,82.29623385
Red meat and chicken (retail weight): Per capita availability,2012,Chicken-Broilers-Pounds,79.8625989
Red meat and chicken (retail weight): Per capita availability,2013,Chicken-Broilers-Pounds,81.41917227
Red meat and chicken (retail weight): Per capita availability,2014,Chicken-Broilers-Pounds,82.96561734
Red meat and chicken (retail weight): Per capita availability,2015,Chicken-Broilers-Pounds,88.47507542
Red meat and chicken (retail weight): Per capita availability,2016,Chicken-Broilers-Pounds,89.20164265
Red meat and chicken (retail weight): Per capita availability,2017,Chicken-Broilers-Pounds,90.42222924
Red meat and chicken (retail weight): Per capita availability,2018,Chicken-Broilers-Pounds,91.90970615
Red meat and chicken (retail weight): Per capita availability,2019,Chicken-Broilers-Pounds,94.55227184
Red meat and chicken (retail weight): Per capita availability,2020,Chicken-Broilers-Pounds,95.69374235
Red meat and chicken (retail weight): Per capita availability,2021,Chicken-Broilers-Pounds,95.98684353
Red meat and chicken (retail weight): Per capita availability,1909,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1910,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1911,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1912,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1913,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1914,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1915,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1916,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1917,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1918,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1919,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1920,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1921,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1922,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1923,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1924,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1925,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1926,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1927,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1928,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1929,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1930,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1931,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1932,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1933,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1934,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1935,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1936,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1937,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1938,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1939,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1940,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1941,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1942,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1943,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1944,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1945,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1946,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1947,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1948,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1949,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1950,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1951,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1952,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1953,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1954,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1955,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1956,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1957,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1958,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1959,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1960,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1961,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1962,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1963,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1964,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1965,"Chicken-Other
 chicken-Pounds",
Red meat and chicken (retail weight): Per capita availability,1966,"Chicken-Other
 chicken-Pounds",3.697365821
Red meat and chicken (retail weight): Per capita availability,1967,"Chicken-Other
 chicken-Pounds",4.035493703
Red meat and chicken (retail weight): Per capita availability,1968,"Chicken-Other
 chicken-Pounds",3.982808925
Red meat and chicken (retail weight): Per capita availability,1969,"Chicken-Other
 chicken-Pounds",3.596030984
Red meat and chicken (retail weight): Per capita availability,1970,"Chicken-Other
 chicken-Pounds",3.656783622
Red meat and chicken (retail weight): Per capita availability,1971,"Chicken-Other
 chicken-Pounds",3.824418139
Red meat and chicken (retail weight): Per capita availability,1972,"Chicken-Other
 chicken-Pounds",3.537543939
Red meat and chicken (retail weight): Per capita availability,1973,"Chicken-Other
 chicken-Pounds",3.198434234
Red meat and chicken (retail weight): Per capita availability,1974,"Chicken-Other
 chicken-Pounds",3.192902822
Red meat and chicken (retail weight): Per capita availability,1975,"Chicken-Other
 chicken-Pounds",2.658466382
Red meat and chicken (retail weight): Per capita availability,1976,"Chicken-Other
 chicken-Pounds",2.640232073
Red meat and chicken (retail weight): Per capita availability,1977,"Chicken-Other
 chicken-Pounds",2.571352213
Red meat and chicken (retail weight): Per capita availability,1978,"Chicken-Other
 chicken-Pounds",2.272219781
Red meat and chicken (retail weight): Per capita availability,1979,"Chicken-Other
 chicken-Pounds",2.277347315
Red meat and chicken (retail weight): Per capita availability,1980,"Chicken-Other
 chicken-Pounds",2.198939076
Red meat and chicken (retail weight): Per capita availability,1981,"Chicken-Other
 chicken-Pounds",2.603741597
Red meat and chicken (retail weight): Per capita availability,1982,"Chicken-Other
 chicken-Pounds",2.606000482
Red meat and chicken (retail weight): Per capita availability,1983,"Chicken-Other
 chicken-Pounds",2.344279087
Red meat and chicken (retail weight): Per capita availability,1984,"Chicken-Other
 chicken-Pounds",2.26951783
Red meat and chicken (retail weight): Per capita availability,1985,"Chicken-Other
 chicken-Pounds",2.105910109
Red meat and chicken (retail weight): Per capita availability,1986,"Chicken-Other
 chicken-Pounds",2.25069499
Red meat and chicken (retail weight): Per capita availability,1987,"Chicken-Other
 chicken-Pounds",2.267141398
Red meat and chicken (retail weight): Per capita availability,1988,"Chicken-Other
 chicken-Pounds",2.141160111
Red meat and chicken (retail weight): Per capita availability,1989,"Chicken-Other
 chicken-Pounds",2.010083249
Red meat and chicken (retail weight): Per capita availability,1990,"Chicken-Other
 chicken-Pounds",1.944691373
Red meat and chicken (retail weight): Per capita availability,1991,"Chicken-Other
 chicken-Pounds",1.828071513
Red meat and chicken (retail weight): Per capita availability,1992,"Chicken-Other
 chicken-Pounds",1.834794719
Red meat and chicken (retail weight): Per capita availability,1993,"Chicken-Other
 chicken-Pounds",1.739027368
Red meat and chicken (retail weight): Per capita availability,1994,"Chicken-Other
 chicken-Pounds",1.529395695
Red meat and chicken (retail weight): Per capita availability,1995,"Chicken-Other
 chicken-Pounds",1.515078459
Red meat and chicken (retail weight): Per capita availability,1996,"Chicken-Other
 chicken-Pounds",0.807283372
Red meat and chicken (retail weight): Per capita availability,1997,"Chicken-Other
 chicken-Pounds",0.366032008
Red meat and chicken (retail weight): Per capita availability,1998,"Chicken-Other
 chicken-Pounds",0.324863701
Red meat and chicken (retail weight): Per capita availability,1999,"Chicken-Other
 chicken-Pounds",0.534597645
Red meat and chicken (retail weight): Per capita availability,2000,"Chicken-Other
 chicken-Pounds",0.94338297
Red meat and chicken (retail weight): Per capita availability,2001,"Chicken-Other
 chicken-Pounds",0.932976816
Red meat and chicken (retail weight): Per capita availability,2002,"Chicken-Other
 chicken-Pounds",1.076751518
Red meat and chicken (retail weight): Per capita availability,2003,"Chicken-Other
 chicken-Pounds",1.126696281
Red meat and chicken (retail weight): Per capita availability,2004,"Chicken-Other
 chicken-Pounds",0.822200918
Red meat and chicken (retail weight): Per capita availability,2005,"Chicken-Other
 chicken-Pounds",1.170036218
Red meat and chicken (retail weight): Per capita availability,2006,"Chicken-Other
 chicken-Pounds",1.015427222
Red meat and chicken (retail weight): Per capita availability,2007,"Chicken-Other
 chicken-Pounds",0.903828431
Red meat and chicken (retail weight): Per capita availability,2008,"Chicken-Other
 chicken-Pounds",1.098184165
Red meat and chicken (retail weight): Per capita availability,2009,"Chicken-Other
 chicken-Pounds",0.978120974
Red meat and chicken (retail weight): Per capita availability,2010,"Chicken-Other
 chicken-Pounds",1.188119254
Red meat and chicken (retail weight): Per capita availability,2011,"Chicken-Other
 chicken-Pounds",1.177208487
Red meat and chicken (retail weight): Per capita availability,2012,"Chicken-Other
 chicken-Pounds",1.159149668
Red meat and chicken (retail weight): Per capita availability,2013,"Chicken-Other
 chicken-Pounds",1.069584497
Red meat and chicken (retail weight): Per capita availability,2014,"Chicken-Other
 chicken-Pounds",1.088378054
Red meat and chicken (retail weight): Per capita availability,2015,"Chicken-Other
 chicken-Pounds",1.014695774
Red meat and chicken (retail weight): Per capita availability,2016,"Chicken-Other
 chicken-Pounds",1.106833509
Red meat and chicken (retail weight): Per capita availability,2017,"Chicken-Other
 chicken-Pounds",1.173651049
Red meat and chicken (retail weight): Per capita availability,2018,"Chicken-Other
 chicken-Pounds",1.288521875
Red meat and chicken (retail weight): Per capita availability,2019,"Chicken-Other
 chicken-Pounds",1.255536282
Red meat and chicken (retail weight): Per capita availability,2020,"Chicken-Other
 chicken-Pounds",1.33542959
Red meat and chicken (retail weight): Per capita availability,2021,"Chicken-Other
 chicken-Pounds",1.378624835
Red meat and chicken (retail weight): Per capita availability,1909,Chicken-Total-Pounds,15.48224681
Red meat and chicken (retail weight): Per capita availability,1910,Chicken-Total-Pounds,15.09899717
Red meat and chicken (retail weight): Per capita availability,1911,Chicken-Total-Pounds,15.01346975
Red meat and chicken (retail weight): Per capita availability,1912,Chicken-Total-Pounds,14.94838184
Red meat and chicken (retail weight): Per capita availability,1913,Chicken-Total-Pounds,14.06420102
Red meat and chicken (retail weight): Per capita availability,1914,Chicken-Total-Pounds,13.69253679
Red meat and chicken (retail weight): Per capita availability,1915,Chicken-Total-Pounds,13.735055
Red meat and chicken (retail weight): Per capita availability,1916,Chicken-Total-Pounds,14.82919772
Red meat and chicken (retail weight): Per capita availability,1917,Chicken-Total-Pounds,14.23995642
Red meat and chicken (retail weight): Per capita availability,1918,Chicken-Total-Pounds,13.83847132
Red meat and chicken (retail weight): Per capita availability,1919,Chicken-Total-Pounds,14.71162846
Red meat and chicken (retail weight): Per capita availability,1920,Chicken-Total-Pounds,15.14109355
Red meat and chicken (retail weight): Per capita availability,1921,Chicken-Total-Pounds,14.17942494
Red meat and chicken (retail weight): Per capita availability,1922,Chicken-Total-Pounds,14.83220955
Red meat and chicken (retail weight): Per capita availability,1923,Chicken-Total-Pounds,14.71076774
Red meat and chicken (retail weight): Per capita availability,1924,Chicken-Total-Pounds,15.80207502
Red meat and chicken (retail weight): Per capita availability,1925,Chicken-Total-Pounds,15.16069339
Red meat and chicken (retail weight): Per capita availability,1926,Chicken-Total-Pounds,14.81517981
Red meat and chicken (retail weight): Per capita availability,1927,Chicken-Total-Pounds,16.29217132
Red meat and chicken (retail weight): Per capita availability,1928,Chicken-Total-Pounds,14.59536525
Red meat and chicken (retail weight): Per capita availability,1929,Chicken-Total-Pounds,14.91808658
Red meat and chicken (retail weight): Per capita availability,1930,Chicken-Total-Pounds,15.25976609
Red meat and chicken (retail weight): Per capita availability,1931,Chicken-Total-Pounds,14.00956635
Red meat and chicken (retail weight): Per capita availability,1932,Chicken-Total-Pounds,13.59903268
Red meat and chicken (retail weight): Per capita availability,1933,Chicken-Total-Pounds,14.05044429
Red meat and chicken (retail weight): Per capita availability,1934,Chicken-Total-Pounds,14.17482805
Red meat and chicken (retail weight): Per capita availability,1935,Chicken-Total-Pounds,13.11081873
Red meat and chicken (retail weight): Per capita availability,1936,Chicken-Total-Pounds,14.59230088
Red meat and chicken (retail weight): Per capita availability,1937,Chicken-Total-Pounds,14.56986724
Red meat and chicken (retail weight): Per capita availability,1938,Chicken-Total-Pounds,16.10170762
Red meat and chicken (retail weight): Per capita availability,1939,Chicken-Total-Pounds,18.63413911
Red meat and chicken (retail weight): Per capita availability,1940,Chicken-Total-Pounds,23.32911605
Red meat and chicken (retail weight): Per capita availability,1941,Chicken-Total-Pounds,22.36320151
Red meat and chicken (retail weight): Per capita availability,1942,Chicken-Total-Pounds,22.0327597
Red meat and chicken (retail weight): Per capita availability,1943,Chicken-Total-Pounds,20.33397223
Red meat and chicken (retail weight): Per capita availability,1944,Chicken-Total-Pounds,18.33118244
Red meat and chicken (retail weight): Per capita availability,1945,Chicken-Total-Pounds,18.41356875
Red meat and chicken (retail weight): Per capita availability,1946,Chicken-Total-Pounds,19.69997587
Red meat and chicken (retail weight): Per capita availability,1947,Chicken-Total-Pounds,20.84596925
Red meat and chicken (retail weight): Per capita availability,1948,Chicken-Total-Pounds,21.91370627
Red meat and chicken (retail weight): Per capita availability,1949,Chicken-Total-Pounds,22.22944302
Red meat and chicken (retail weight): Per capita availability,1950,Chicken-Total-Pounds,22.01610629
Red meat and chicken (retail weight): Per capita availability,1951,Chicken-Total-Pounds,22.87688357
Red meat and chicken (retail weight): Per capita availability,1952,Chicken-Total-Pounds,21.4248979
Red meat and chicken (retail weight): Per capita availability,1953,Chicken-Total-Pounds,24.49159142
Red meat and chicken (retail weight): Per capita availability,1954,Chicken-Total-Pounds,25.54970398
Red meat and chicken (retail weight): Per capita availability,1955,Chicken-Total-Pounds,28.13811796
Red meat and chicken (retail weight): Per capita availability,1956,Chicken-Total-Pounds,28.84121238
Red meat and chicken (retail weight): Per capita availability,1957,Chicken-Total-Pounds,27.99010356
Red meat and chicken (retail weight): Per capita availability,1958,Chicken-Total-Pounds,29.99602593
Red meat and chicken (retail weight): Per capita availability,1959,Chicken-Total-Pounds,30.015332
Red meat and chicken (retail weight): Per capita availability,1960,Chicken-Total-Pounds,30.70671415
Red meat and chicken (retail weight): Per capita availability,1961,Chicken-Total-Pounds,31.09089109
Red meat and chicken (retail weight): Per capita availability,1962,Chicken-Total-Pounds,33.39114682
Red meat and chicken (retail weight): Per capita availability,1963,Chicken-Total-Pounds,35.78600309
Red meat and chicken (retail weight): Per capita availability,1964,Chicken-Total-Pounds,36.65976124
Red meat and chicken (retail weight): Per capita availability,1965,Chicken-Total-Pounds,36.86497774
Red meat and chicken (retail weight): Per capita availability,1966,Chicken-Total-Pounds,35.78600309
Red meat and chicken (retail weight): Per capita availability,1967,Chicken-Total-Pounds,36.65976124
Red meat and chicken (retail weight): Per capita availability,1968,Chicken-Total-Pounds,36.86497774
Red meat and chicken (retail weight): Per capita availability,1969,Chicken-Total-Pounds,38.51063137
Red meat and chicken (retail weight): Per capita availability,1970,Chicken-Total-Pounds,40.12499864
Red meat and chicken (retail weight): Per capita availability,1971,Chicken-Total-Pounds,40.11442148
Red meat and chicken (retail weight): Per capita availability,1972,Chicken-Total-Pounds,41.53597399
Red meat and chicken (retail weight): Per capita availability,1973,Chicken-Total-Pounds,39.74648552
Red meat and chicken (retail weight): Per capita availability,1974,Chicken-Total-Pounds,39.6242861
Red meat and chicken (retail weight): Per capita availability,1975,Chicken-Total-Pounds,38.82938571
Red meat and chicken (retail weight): Per capita availability,1976,Chicken-Total-Pounds,41.90302456
Red meat and chicken (retail weight): Per capita availability,1977,Chicken-Total-Pounds,42.71032397
Red meat and chicken (retail weight): Per capita availability,1978,Chicken-Total-Pounds,44.81272341
Red meat and chicken (retail weight): Per capita availability,1979,Chicken-Total-Pounds,47.64129017
Red meat and chicken (retail weight): Per capita availability,1980,Chicken-Total-Pounds,47.3619683
